CDC 2000 growth charts,Length (cm),,,,,,"Height (HT, cm)",,,,,,"Weight (WT, kg)",,,,,,"Body Mass Index (BMI, kg/m2)",,,,,,"Head Circumference (HC, cm)",,,,,
Age,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,
(years),L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
2.04,1.00720807,87.66160934,0.0403956257,1.051272912,86.1973169,0.0408597268,1.01,86.9,0.040,1.05,85.4,0.041,-0.22,12.7,0.108,-0.75,12.1,0.108,-1.98,16.5,0.080,-1.02,16.4,0.085,1.42,48.7,0.029,1.71,47.5,0.029
2.13,0.8372513507,88.45247282,0.0405775247,1.041951175,87.09026318,0.0411421607,0.84,87.7,0.041,1.04,86.3,0.041,-0.24,12.9,0.108,-0.78,12.3,0.108,-1.92,16.5,0.079,-1.10,16.3,0.084,1.57,48.8,0.030,1.79,47.7,0.030
2.21,0.681492975,89.22326434,0.0407231216,1.012592236,87.95714182,0.0413493986,0.68,88.4,0.041,1.01,87.2,0.041,-0.27,13.0,0.108,-0.81,12.4,0.109,-1.87,16.4,0.078,-1.18,16.3,0.083,1.72,48.9,0.030,1.87,47.8,0.030
2.29,0.5387796541,89.97549228,0.0408331942,0.9705419086,88.7960184,0.041500428,0.54,89.2,0.041,0.97,88.0,0.042,-0.30,13.2,0.109,-0.84,12.6,0.110,-1.81,16.4,0.078,-1.27,16.2,0.083,1.86,49.0,0.030,1.94,47.9,0.030
2.38,0.4076971531,90.71040853,0.0409090589,0.9211299875,89.6055115,0.0416105082,0.41,89.9,0.041,0.92,88.8,0.042,-0.33,13.3,0.109,-0.87,12.7,0.111,-1.75,16.3,0.077,-1.35,16.1,0.082,2.00,49.1,0.030,2.00,48.0,0.030
2.46,0.2867624533,91.42907762,0.0409524329,0.8682213922,90.38476689,0.0416917614,0.29,90.6,0.041,0.87,89.6,0.042,-0.36,13.4,0.109,-0.89,12.9,0.112,-1.69,16.3,0.076,-1.44,16.1,0.081,2.13,49.2,0.031,2.06,48.1,0.030
2.54,0.1744894848,92.13242379,0.0409653301,0.8145441296,91.13341722,0.0417536804,0.17,91.3,0.041,0.81,90.3,0.042,-0.40,13.6,0.109,-0.91,13.0,0.113,-1.64,16.2,0.075,-1.53,16.0,0.081,2.26,49.3,0.031,2.12,48.2,0.031
2.63,0.0694445205,92.82127167,0.0409499758,0.7619579771,91.8515436,0.0418035615,0.07,92.0,0.041,0.76,91.1,0.042,-0.43,13.7,0.110,-0.94,13.2,0.114,-1.59,16.2,0.075,-1.63,15.9,0.080,2.39,49.4,0.031,2.17,48.3,0.031
2.71,-0.029720564,93.49637946,0.0409087367,0.7116602284,92.5396352,0.0418468815,-0.03,92.7,0.041,0.71,91.7,0.042,-0.47,13.8,0.110,-0.96,13.3,0.115,-1.55,16.2,0.074,-1.72,15.9,0.080,2.51,49.5,0.032,2.21,48.4,0.031
2.79,-0.124251789,94.15846546,0.0408440616,0.6643233788,93.19854429,0.041887626,-0.12,93.4,0.041,0.66,92.4,0.042,-0.51,14.0,0.110,-0.97,13.5,0.116,-1.51,16.1,0.074,-1.81,15.8,0.080,2.63,49.5,0.032,2.26,48.4,0.031
2.88,-0.215288396,94.80822923,0.0407584307,0.6202851017,93.82945392,0.0419285678,-0.22,94.0,0.041,0.62,93.0,0.042,-0.55,14.1,0.111,-0.99,13.6,0.117,-1.47,16.1,0.073,-1.91,15.8,0.079,2.75,49.6,0.032,2.30,48.5,0.032
2.96,-0.30385434,95.44636981,0.0406543122,0.57955631,94.43382278,0.0419715144,-0.30,94.6,0.041,0.58,93.6,0.042,-0.59,14.3,0.111,-1.01,13.8,0.118,-1.44,16.0,0.073,-2.00,15.7,0.079,2.86,49.7,0.032,2.33,48.6,0.032
3.00,,,,,,,,,,,,,,,,,,,,,,,,,2.910932095,49.68393611,0.032653934,2.35,48.6,0.032
3.04,,,,,,,-0.39,95.3,0.041,0.54,94.2,0.042,-0.62,14.4,0.112,-1.02,13.9,0.119,-1.42,16.0,0.073,-2.10,15.7,0.079,,,,,,
3.13,,,,,,,-0.25,95.9,0.041,0.51,94.8,0.042,-0.66,14.5,0.112,-1.04,14.1,0.121,-1.40,16.0,0.072,-2.19,15.7,0.078,,,,,,
3.21,,,,,,,-0.13,96.5,0.041,0.48,95.4,0.042,-0.69,14.7,0.113,-1.05,14.2,0.122,-1.40,15.9,0.072,-2.28,15.6,0.078,,,,,,
3.29,,,,,,,0.00,97.2,0.041,0.46,95.9,0.042,-0.72,14.9,0.114,-1.07,14.4,0.123,-1.39,15.9,0.072,-2.37,15.6,0.078,,,,,,
3.38,,,,,,,0.11,97.8,0.041,0.43,96.5,0.042,-0.75,15.0,0.114,-1.08,14.6,0.124,-1.40,15.9,0.072,-2.46,15.5,0.078,,,,,,
