name = ukwho
year = 1990-2006
yname = height
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L       M          S		
-0.325804244                       
-0.306639288                       
12.5            1       151.35     0.04964    
12.583          1       151.89     0.04983    
12.667          1       152.44     0.05001    
12.75           1       153        0.05019
12.833          1       153.58     0.05037    
12.917          1       154.17     0.05053    
13              1       154.77     0.05068    
13.083          1       155.38     0.05083    
13.167          1       156        0.05095
13.25           1       156.63     0.05107    
13.333          1       157.27     0.05116    
13.417          1       157.91     0.05123    
13.5            1       158.55     0.05129    
13.583          1       159.2      0.05132    
13.667          1       159.84     0.05133    
13.75           1       160.47     0.05131    
13.833          1       161.11     0.05126    
13.917          1       161.74     0.0512    
14              1       162.36     0.0511    
14.083          1       162.97     0.05098    
14.167          1       163.58     0.05083    
14.25           1       164.17     0.05065    
14.333          1       164.75     0.05045    
14.417          1       165.33     0.05023    
14.5            1       165.88     0.04998    
14.583          1       166.43     0.04971    
14.667          1       166.96     0.04942    
14.75           1       167.48     0.04912    
14.833          1       167.98     0.04879    
14.917          1       168.47     0.04846    
15              1       168.94     0.04811    
15.083          1       169.4      0.04776    
15.167          1       169.84     0.0474    
15.25           1       170.26     0.04703    
15.333          1       170.67     0.04666    
15.417          1       171.06     0.0463    
15.5            1       171.43     0.04594    
15.583          1       171.79     0.04558    
15.667          1       172.14     0.04522    
15.75           1       172.48     0.04488    
15.833          1       172.79     0.04454    
15.917          1       173.1      0.04421    
16              1       173.39     0.04389    
16.083          1       173.66     0.04358    
16.167          1       173.93     0.04328    
16.25           1       174.18     0.043    
16.333          1       174.42     0.04273    
16.417          1       174.64     0.04246    
16.5            1       174.86     0.04222    
16.583          1       175.06     0.04198    
16.667          1       175.25     0.04175    
16.75           1       175.43     0.04154    
16.833          1       175.61     0.04134    
16.917          1       175.77     0.04114    
17              1       175.92     0.04096    
17.083          1       176.07     0.04079    
17.167          1       176.21     0.04063    
17.25           1       176.33     0.04047    
17.333          1       176.45     0.04033    
17.417          1       176.57     0.0402    
17.5            1       176.67     0.04008    
17.583          1       176.76     0.03997    
17.667          1       176.85     0.03987    
17.75           1       176.92     0.03979    
17.833          1       176.99     0.03971    
17.917          1       177.04     0.03964    
18              1       177.09     0.03958    
18.083          1       177.13     0.03953    
18.167          1       177.17     0.03948    
18.25           1       177.2      0.03945    
18.333          1       177.23     0.03942    
18.417          1       177.25     0.0394    
18.5            1       177.26     0.03938    
18.583          1       177.27     0.03937    
18.667          1       177.27     0.03936    
18.75           1       177.28     0.03936    
18.833          1       177.28     0.03936    
18.917          1       177.28     0.03936    
19              1       177.28     0.03935    
19.083          1       177.29     0.03935    
19.167          1       177.29     0.03934    
19.25           1       177.29     0.03934    
19.333          1       177.3      0.03934    
19.417          1       177.3      0.03934    
19.5            1       177.3      0.03934    
19.583          1       177.3      0.03933    
19.667          1       177.3      0.03933    
19.75           1       177.31     0.03932    
19.833          1       177.32     0.03931    
19.917          1       177.33     0.0393    
20              1       177.34     0.03929    
    
    










