name = ukwho
year = 1990-2006
yname = weight
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L       M       S		
12	            -0.85	38.12	0.18
12.08	        -0.83	38.47	0.18
12.17	        -0.82	38.82	0.18
12.25	        -0.80	39.19	0.18
12.33	        -0.78	39.56	0.18
12.42	        -0.76	39.95	0.18
12.50	        -0.73	40.35	0.18
12.58	        -0.71	40.76	0.18
12.67	        -0.69	41.18	0.18
12.75	        -0.67	41.61	0.18
12.83	        -0.65	42.05	0.18
12.92	        -0.62	42.51	0.18
13	            -0.60	42.97	0.18
13.08	        -0.58	43.45	0.18
13.17	        -0.55	43.93	0.18
13.25	        -0.53	44.43	0.18
13.33	        -0.51	44.93	0.18
13.42	        -0.49	45.44	0.18
13.50	        -0.46	45.96	0.18
13.58	        -0.44	46.49	0.18
13.67	        -0.42	47.02	0.18
13.75	        -0.40	47.55	0.18
13.83	        -0.38	48.08	0.18
13.92	        -0.37	48.62	0.18
14	            -0.35	49.15	0.18
14.08	        -0.34	49.69	0.18
14.17	        -0.32	50.23	0.18
14.25	        -0.31	50.76	0.18
14.33	        -0.30	51.29	0.18
14.42	        -0.29	51.82	0.18
14.50	        -0.28	52.34	0.18
14.58	        -0.28	52.86	0.18
14.67	        -0.27	53.38	0.18
14.75	        -0.27	53.88	0.18
14.83	        -0.26	54.39	0.18
14.92	        -0.26	54.88	0.18
15	            -0.26	55.37	0.18
15.08	        -0.27	55.85	0.18
15.17	        -0.27	56.32	0.18
15.25	        -0.27	56.79	0.18
15.33	        -0.28	57.25	0.17
15.42	        -0.28	57.70	0.17
15.50	        -0.29	58.14	0.17
15.58	        -0.30	58.57	0.17
15.67	        -0.31	58.99	0.17
15.75	        -0.32	59.41	0.17
15.83	        -0.33	59.81	0.17
15.92	        -0.34	60.20	0.16
16	            -0.35	60.59	0.16
16.08	        -0.36	60.96	0.16
16.17	        -0.38	61.32	0.16
16.25	        -0.39	61.67	0.16
16.33	        -0.40	62.01	0.16
16.42	        -0.41	62.33	0.16
16.50	        -0.42	62.65	0.15
16.58	        -0.43	62.95	0.15
16.67	        -0.45	63.25	0.15
16.75	        -0.46	63.53	0.15
16.83	        -0.47	63.81	0.15
16.92	        -0.48	64.07	0.15
17	            -0.49	64.33	0.15
17.08	        -0.50	64.58	0.15
17.17	        -0.51	64.82	0.14
17.25	        -0.52	65.05	0.14
17.33	        -0.53	65.28	0.14
17.42	        -0.54	65.49	0.14
17.50	        -0.55	65.70	0.14
