name = ukwho
year = 1990-2006
yname = ofc
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L   M          S		
-0.325804244			
-0.306639288			
-0.287474333			
-0.268309377			
-0.249144422			
-0.229979466			
-0.210814511			
-0.191649555			
-0.1724846			
-0.153319644			
-0.134154689			
-0.114989733			
-0.095824778			
-0.076659822			
-0.057494867			
-0.038329911			
-0.019164956			
14.25	    -1.684	18.836	0.11712
14.333	    -1.68	18.89	0.11715
14.417	    -1.675	18.944	0.11717
14.5	    -1.671	18.997	0.11719
14.583	    -1.666	19.051	0.11721
14.667	    -1.661	19.104	0.11722
14.75	    -1.657	19.158	0.11723
14.833	    -1.652	19.211	0.11724
14.917	    -1.648	19.264	0.11724
15	        -1.643	19.317	0.11725
15.083	    -1.639	19.37	0.11725
15.167	    -1.635	19.423	0.11725
15.25	    -1.63	19.475	0.11724
15.333	    -1.626	19.528	0.11724
15.417	    -1.621	19.579	0.11723
15.5	    -1.617	19.632	0.11722
15.583	    -1.612	19.683	0.11721
15.667	    -1.608	19.735	0.11719
15.75	    -1.603	19.786	0.11718
15.833	    -1.599	19.837	0.11716
15.917	    -1.595	19.887	0.11714
16	        -1.59	19.938	0.11712
16.083	    -1.586	19.988	0.1171
16.167	    -1.582	20.038	0.11708
16.25	    -1.577	20.087	0.11706
16.333	    -1.573	20.137	0.11703
16.417	    -1.569	20.186	0.117
16.5	    -1.564	20.234	0.11698
16.583	    -1.56	20.282	0.11695
16.667	    -1.556	20.33	0.11692
16.75	    -1.551	20.378	0.11689
16.833	    -1.547	20.425	0.11686
16.917	    -1.543	20.472	0.11683
17	        -1.538	20.519	0.1168
17.083	    -1.534	20.565	0.11677
17.167	    -1.53	20.611	0.11674
17.25	    -1.526	20.656	0.1167
17.333	    -1.521	20.702	0.11667
17.417	    -1.517	20.746	0.11663
17.5	    -1.513	20.791	0.1166
17.583	    -1.509	20.836	0.11657
17.667	    -1.505	20.879	0.11653
17.75	    -1.501	20.923	0.11649
17.833	    -1.496	20.967	0.11646
17.917	    -1.492	21.009	0.11642
18	        -1.488	21.052	0.11639
18.083	    -1.484	21.095	0.11635
18.167	    -1.48	21.136	0.11631
18.25	    -1.476	21.178	0.11628
18.333	    -1.472	21.22	0.11624
18.417	    -1.467	21.26	0.1162
18.5	    -1.463	21.301	0.11617
18.583	    -1.459	21.342	0.11613
18.667	    -1.455	21.382	0.11609
18.75	    -1.451	21.422	0.11605
18.833	    -1.447	21.461	0.11602
18.917	    -1.443	21.501	0.11598
19	        -1.439	21.54	0.11594
19.083	    -1.435	21.578	0.11591
19.167	    -1.431	21.617	0.11587
19.25	    -1.427	21.655	0.11583
19.333	    -1.423	21.693	0.1158
19.417	    -1.419	21.73	0.11576
19.5	    -1.415	21.768	0.11572
19.583	    -1.412	21.805	0.11569
19.667	    -1.408	21.842	0.11565
19.75	    -1.404	21.878	0.11561
19.833	    -1.4	21.914	0.11558
19.917	    -1.396	21.951	0.11554
20	        -1.392	21.986	0.11551
