name = ukwho
year = 1990-2006
yname = ofc
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L   M          S		
-0.325804244			
-0.306639288			
-0.287474333			
-0.268309377			
-0.249144422			
-0.229979466			
-0.210814511			
-0.191649555			
-0.1724846			
-0.153319644			
-0.134154689			
-0.114989733			
-0.095824778			
-0.076659822			
-0.057494867			
-0.038329911			
-0.019164956			
11.333	    -1.316	17.687	0.12838
11.417	    -1.314	17.739	0.12849
11.5	    -1.312	17.793	0.12858
11.583	    -1.311	17.846	0.12866
11.667	    -1.309	17.9	0.12875
11.75	    -1.307	17.954	0.12882
11.833	    -1.306	18.008	0.12888
11.917	    -1.304	18.062	0.12894
12	        -1.302	18.117	0.12899
12.083	    -1.3	18.172	0.12903
12.167	    -1.299	18.227	0.12907
12.25	    -1.297	18.281	0.1291
12.333	    -1.295	18.337	0.12913
12.417	    -1.293	18.391	0.12915
12.5	    -1.291	18.446	0.12917
12.583	    -1.29	18.5	0.12918
12.667	    -1.288	18.555	0.12918
12.75	    -1.286	18.61	0.12919
12.833	    -1.284	18.664	0.12919
12.917	    -1.283	18.718	0.12918
13	        -1.281	18.772	0.12917
13.083	    -1.279	18.825	0.12916
13.167	    -1.277	18.88	0.12914
13.25	    -1.276	18.932	0.12913
13.333	    -1.274	18.985	0.1291
13.417	    -1.272	19.038	0.12908
13.5	    -1.271	19.09	0.12905
13.583	    -1.269	19.142	0.12902
13.667	    -1.267	19.194	0.12899
13.75	    -1.266	19.244	0.12895
13.833	    -1.264	19.295	0.12892
13.917	    -1.262	19.345	0.12888
14	        -1.261	19.395	0.12884
14.083	    -1.259	19.445	0.12879
14.167	    -1.258	19.493	0.12875
14.25	    -1.256	19.542	0.1287
14.333	    -1.254	19.589	0.12866
14.417	    -1.253	19.637	0.12861
14.5	    -1.251	19.684	0.12856
14.583	    -1.25	19.73	0.12851
14.667	    -1.248	19.776	0.12846
14.75	    -1.247	19.822	0.1284
14.833	    -1.245	19.866	0.12835
14.917	    -1.244	19.911	0.1283
15	        -1.242	19.955	0.12824
15.083	    -1.241	19.998	0.12819
15.167	    -1.239	20.041	0.12813
15.25	    -1.238	20.083	0.12807
15.333	    -1.236	20.124	0.12802
15.417	    -1.235	20.166	0.12796
15.5	    -1.233	20.206	0.1279
15.583	    -1.232	20.246	0.12785
15.667	    -1.231	20.285	0.12779
15.75	    -1.229	20.324	0.12773
15.833	    -1.228	20.363	0.12768
15.917	    -1.226	20.401	0.12762
16	        -1.225	20.438	0.12757
16.083	    -1.224	20.475	0.12751
16.167	    -1.222	20.511	0.12745
16.25	    -1.221	20.547	0.1274
16.333	    -1.22	20.582	0.12734
16.417	    -1.218	20.617	0.12729
16.5	    -1.217	20.652	0.12723
16.583	    -1.216	20.685	0.12718
16.667	    -1.214	20.718	0.12712
16.75	    -1.213	20.751	0.12707
16.833	    -1.212	20.783	0.12702
16.917	    -1.21	20.816	0.12696
17	        -1.209	20.847	0.12691
17.083	    -1.208	20.878	0.12686
17.167	    -1.206	20.908	0.12681
17.25	    -1.205	20.938	0.12676
17.333	    -1.204	20.968	0.12671
17.417	    -1.203	20.997	0.12666
17.5	    -1.201	21.026	0.1266
17.583	    -1.2	21.054	0.12656
17.667	    -1.199	21.082	0.1265
17.75	    -1.197	21.11	0.12646
17.833	    -1.196	21.137	0.12641
17.917	    -1.195	21.164	0.12636
18	        -1.194	21.19	0.12631
18.083	    -1.193	21.216	0.12627
18.167	    -1.191	21.242	0.12622
18.25	    -1.19	21.267	0.12617
18.333	    -1.189	21.293	0.12613
18.417	    -1.188	21.317	0.12608
18.5	    -1.186	21.342	0.12604
18.583	    -1.185	21.366	0.126
18.667	    -1.184	21.39	0.12595
18.75	    -1.183	21.413	0.12591
18.833	    -1.181	21.436	0.12587
18.917	    -1.18	21.459	0.12582
19	        -1.179	21.482	0.12578
19.083	    -1.178	21.504	0.12574
19.167	    -1.177	21.527	0.1257
19.25	    -1.175	21.548	0.12566
19.333	    -1.174	21.57	0.12561
19.417	    -1.173	21.591	0.12558
19.5	    -1.172	21.612	0.12554
19.583	    -1.171	21.633	0.1255
19.667	    -1.169	21.653	0.12546
19.75	    -1.168	21.674	0.12542
19.833	    -1.167	21.695	0.12538
19.917	    -1.166	21.715	0.12534
20	        -1.165	21.735	0.1253
