name = ukwho
year = 1990-2006
yname = height
sex = female
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L       M          S		
-0.325804244            
-0.306639288            
12.583          1       151.89     0.04606    
12.667          1       152.44     0.04579    
12.75           1       153        0.04551
12.833          1       153.58     0.04522    
12.917          1       154.17     0.04492    
13              1       154.77     0.04462    
13.083          1       155.38     0.04431    
13.167          1       156        0.044
13.25           1       156.63     0.04369    
13.333          1       157.27     0.04338    
13.417          1       157.91     0.04307    
13.5            1       158.55     0.04276    
13.583          1       159.2      0.04245    
13.667          1       159.84     0.04215    
13.75           1       160.47     0.04185    
13.833          1       161.11     0.04156    
13.917          1       161.74     0.04127    
14              1       162.36     0.041    
14.083          1       162.97     0.04073    
14.167          1       163.58     0.04046    
14.25           1       164.17     0.04021    
14.333          1       164.75     0.03997    
14.417          1       165.33     0.03974    
14.5            1       165.88     0.03952    
14.583          1       166.43     0.03931    
14.667          1       166.96     0.0391    
14.75           1       167.48     0.03892    
14.833          1       167.98     0.03874    
14.917          1       168.47     0.03858    
15              1       168.94     0.03842    
15.083          1       169.4      0.03828    
15.167          1       169.84     0.03815    
15.25           1       170.26     0.03803    
15.333          1       170.67     0.03792    
15.417          1       171.06     0.03782    
15.5            1       171.43     0.03772    
15.583          1       171.79     0.03764    
15.667          1       172.14     0.03756    
15.75           1       172.48     0.03749    
15.833          1       172.79     0.03743    
15.917          1       173.1      0.03737    
16              1       173.39     0.03732    
16.083          1       173.66     0.03728    
16.167          1       173.93     0.03723    
16.25           1       174.18     0.0372    
16.333          1       174.42     0.03716    
16.417          1       174.64     0.03713    
16.5            1       174.86     0.03711    
16.583          1       175.06     0.03708    
16.667          1       175.25     0.03707    
16.75           1       175.43     0.03705    
16.833          1       175.61     0.03704    
16.917          1       175.77     0.03703    
17              1       175.92     0.03702    
17.083          1       176.07     0.03701    
17.167          1       176.21     0.03701    
17.25           1       176.33     0.03701    
17.333          1       176.45     0.03701    
17.417          1       176.57     0.037    
17.5            1       176.67     0.037    
17.583          1       176.76     0.03699    
17.667          1       176.85     0.03699    
17.75           1       176.92     0.03698    
17.833          1       176.99     0.03697    
17.917          1       177.04     0.03696    
18              1       177.09     0.03695    
18.083          1       177.13     0.03695    
18.167          1       177.17     0.03694    
18.25           1       177.2      0.03693    
18.333          1       177.23     0.03693    
18.417          1       177.25     0.03692    
18.5            1       177.26     0.03692    
18.583          1       177.27     0.03691    
18.667          1       177.27     0.03691    
18.75           1       177.28     0.03691    
18.833          1       177.28     0.03691    
18.917          1       177.28     0.03691    
19              1       177.28     0.03691    
19.083          1       177.29     0.03691    
19.167          1       177.29     0.03691    
19.25           1       177.29     0.03691    
19.333          1       177.3      0.03691    
19.417          1       177.3      0.03691    
19.5            1       177.3      0.0369    
19.583          1       177.3      0.0369    
19.667          1       177.3      0.0369    
19.75           1       177.31     0.0369    
19.833          1       177.32     0.0369    
19.917          1       177.33     0.0369    
20              1       177.34     0.0369    
    
    










