name = ukwho
year = 1990-2006
yname = ofc
sex = male
distribution = LMS
citation = British 1990 reference data, reanalysed 2009
publication = UK-WHO
[data]
X               L   M          S		
13.083	    1	55.514	0.02964
13.167	    1	55.546	0.02965
13.25	    1	55.576	0.02966
13.333	    1	55.608	0.02966
13.417	    1	55.639	0.02967
13.5	    1	55.67	0.02967
13.583	    1	55.701	0.02968
13.667	    1	55.732	0.02969
13.75	    1	55.764	0.02969
13.833	    1	55.795	0.0297
13.917	    1	55.827	0.0297
14	        1	55.858	0.02971
14.083	    1	55.889	0.02971
14.167	    1	55.921	0.02972
14.25	    1	55.953	0.02972
14.333	    1	55.983	0.02973
14.417	    1	56.014	0.02973
14.5	    1	56.046	0.02974
14.583	    1	56.077	0.02974
14.667	    1	56.108	0.02975
14.75	    1	56.139	0.02975
14.833	    1	56.17	0.02976
14.917	    1	56.201	0.02976
15	        1	56.232	0.02977
15.083	    1	56.262	0.02977
15.167	    1	56.293	0.02978
15.25	    1	56.324	0.02978
15.333	    1	56.354	0.02979
15.417	    1	56.384	0.02979
15.5	    1	56.414	0.0298
15.583	    1	56.444	0.0298
15.667	    1	56.474	0.0298
15.75	    1	56.503	0.02981
15.833	    1	56.533	0.02981
15.917	    1	56.562	0.02982
16	        1	56.591	0.02982
16.083	    1	56.621	0.02983
16.167	    1	56.65	0.02983
16.25	    1	56.679	0.02984
16.333	    1	56.707	0.02984
16.417	    1	56.736	0.02984
16.5	    1	56.764	0.02985
16.583	    1	56.792	0.02985
16.667	    1	56.821	0.02985
16.75	    1	56.849	0.02986
16.833	    1	56.876	0.02986
16.917	    1	56.904	0.02987
17	        1	56.932	0.02987
17.083	    1	56.96	0.02987
17.167	    1	56.987	0.02988
17.25	    1	57.014	0.02988
17.333	    1	57.041	0.02989
17.417	    1	57.068	0.02989
17.5	    1	57.095	0.02989
17.583	    1	57.121	0.0299
17.667	    1	57.148	0.0299
17.75	    1	57.174	0.0299
17.833	    1	57.201	0.02991
17.917	    1	57.227	0.02991
18	        1	57.26	0.02991
18.083			
18.167			
18.25			
18.333			
18.417			
18.5			
18.583			
18.667			
18.75			
18.833			
18.917			
19			
19.083			
19.167			
19.25			
19.333			
19.417			
19.5			
19.583			
19.667			
19.75			
19.833			
19.917			
20			
