Paediatric Reference Ranges for Spirometry: NHANES III update (2008),FEV1(litre),,,,,,FVC (litre),,,,,,FEV1FVC (1),,,,,,FEF2575 (L/s),,,,,,FEV075(litre),,,,,,FEV075FVC(1),,,,,
Age,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
(year),L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s,L,mu.s,sigma.s
log link,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
log ht,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
coef  int,0,-11.1047846,-1.8009382,0,-10.27933984,-1.84729705,0,-11.6896501,-1.5853657,0,-11.0342204,-1.7676323,0,0.31380402,-3.3908484,0,0.4997604,-3.3947455,0,-7.95395119,-1.425505251,0,-6.5826187,-1.9445366,0,-9.60339929,-2.031934459,0,-10.15756031,-1.87804691,0,0.20914934,-2.40932579,0,0.58617016,-2.592107671
Height  cm,0,2.3395048,0,0,2.19870726,0,0,2.4365084,0,0,2.334112,0,0,-0.03323328,0,0,-0.0793916,0,0,1.80700694,0,0,1.6133475,0,0,2.0222263,0,0,2.13863145,0,0,-0.03715605,0,0,-0.13216689,0
coef age,0,0.148912,-0.1248596,0,0.03408397,-0.08155572,0,0.2795876,-0.2470621,0,0.1453117,-0.123112,0,-0.1504137,0.3696677,0,-0.1185497,0.3266679,0,-0.00490018,0.004887173,0,-0.2679831,0.2871433,0,0.02676122,-0.008781346,0,0.02140254,-0.02476799,0,-0.1027656,-0.04491048,0,-0.04523984,0.007361615
6.9,1,-0.004888038583,-0.02720148914,1,-0.02780756247,-0.009393966481,1,0.005625689974,-0.02157861623,1,-0.01023420532,-0.01059274514,4.04764836,-0.004914218817,0.02291683994,4.087730952,-0.01031289472,0.04381260666,0.4537644682,-0.1007295128,0.05931761478,0.5265980809,-0.1439433375,0.06607224045,1,-0.0002918390438,-0.0002427381797,1,-0.0001843111844,-0.00034910685,2.227145918,-0.009073429345,6.77E-06,3.273438127,-0.00189786496,7.68E-05
7,1,-0.005029070904,-0.03047474636,1,-0.0266148863,-0.01197405188,1,0.006328804504,-0.02486279806,1,-0.008672749505,-0.01511071091,4.04764836,-0.005626076382,0.02456826137,4.087730952,-0.01069084076,0.0457188447,0.4537644682,-0.1004929563,0.05720598272,0.5265980809,-0.1403936428,0.06248903729,1,-0.0003083406564,-0.0002567966231,1,-0.0001929697058,-0.0003668842919,2.227145918,-0.009388314849,4.53E-06,3.273438127,-0.002063276311,7.65E-05
7.1,1,-0.005212539722,-0.03367968283,1,-0.02540849266,-0.01451165044,1,0.006995939609,-0.0280934677,1,-0.007131511677,-0.01958300081,4.04764836,-0.00634262434,0.0261671243,4.087730952,-0.01105378464,0.04752553139,0.4537644682,-0.1002274977,0.05509960503,0.5265980809,-0.1367709158,0.05895780416,1,-0.0003244586697,-0.0002706260934,1,-0.0002013408825,-0.0003842333704,2.227145918,-0.009686971486,2.28E-06,3.273438127,-0.002224688436,7.60E-05
7.2,1,-0.00543762793,-0.03681641944,1,-0.02418827271,-0.01700752075,1,0.007625758286,-0.0312707375,1,-0.005610764273,-0.02400902481,4.04764836,-0.00706151028,0.02771465891,4.087730952,-0.01140062206,0.04923512685,0.4537644682,-0.09993051662,0.05299877032,0.5265980809,-0.133075642,0.05547792261,1,-0.0003401738107,-0.0002842181713,1,-0.0002094133395,-0.0004011379085,2.227145918,-0.009968953825,1.96E-08,3.273438127,-0.00238158765,7.54E-05
7.3,1,-0.005702408592,-0.03988521996,1,-0.02295381615,-0.01946241557,1,0.008218857892,-0.0343947599,1,-0.004110049076,-0.02838857366,4.04764836,-0.007780775315,0.02921206269,4.087730952,-0.01173076181,0.05085014472,0.4537644682,-0.0995993606,0.05090376439,0.5265980809,-0.1293083794,0.05204875448,1,-0.0003554673092,-0.0002975606647,1,-0.0002171755506,-0.0004175830701,2.227145918,-0.01023386743,-2.23E-06,3.273438127,-0.002533500264,7.46E-05
7.4,1,-0.006004394412,-0.04288653135,1,-0.02170419042,-0.02187705336,1,0.008775876356,-0.0374657383,1,-0.002628938415,-0.03272135392,4.04764836,-0.008498584426,0.0306604607,4.087730952,-0.01204347043,0.0523730468,0.4537644682,-0.09923146361,0.04881486135,0.5265980809,-0.1254700113,0.0486696062,1,-0.0003703204509,-0.000310642841,1,-0.0002246162046,-0.0004335548509,2.227145918,-0.0104813476,-4.46E-06,3.273438127,-0.00267995278,7.36E-05
7.5,1,-0.00634144399,-0.0458208717,1,-0.02043705702,-0.02425210564,1,0.009294710818,-0.04048388758,1,-0.00116686108,-0.03700722365,4.04764836,-0.009212701942,0.03206095009,4.087730952,-0.01233693022,0.05380631485,0.4537644682,-0.09882414684,0.04673233322,0.5265980809,-0.1215613195,0.04533965613,1,-0.0003847147354,-0.0003234556187,1,-0.0002317236851,-0.0004490400698,2.227145918,-0.01071106037,-6.67E-06,3.273438127,-0.002820435749,7.25E-05
7.6,1,-0.006711204335,-0.04868889438,1,-0.01914930063,-0.02658822906,1,0.009771076844,-0.04344945304,1,0.0002771467615,-0.04124625171,4.04764836,-0.009919994266,0.03341463354,4.087730952,-0.0126090779,0.05515235199,0.4537644682,-0.0983746188,0.04465644061,0.5265980809,-0.1175830775,0.04205806881,1,-0.0003986321771,-0.0003359904573,1,-0.0002384861842,-0.000464026064,2.227145918,-0.01092263808,-8.85E-06,3.273438127,-0.002954458691,7.12E-05
7.7,1,-0.007109421582,-0.05149126502,1,-0.01783686149,-0.028886052,1,0.01020264278,-0.04636269901,1,0.001704968007,-0.04543829556,4.04764836,-0.01061714383,0.03472259689,4.087730952,-0.01285821619,0.05641346439,0.4537644682,-0.09788005797,0.04258743169,0.5265980809,-0.1135365126,0.03882402451,1,-0.0004120554054,-0.0003482367292,1,-0.0002448922102,-0.000478501697,2.227145918,-0.01111569525,-1.10E-05,3.273438127,-0.00308157694,6.98E-05
7.8,1,-0.007533849938,-0.05422845832,1,-0.01649571225,-0.03114617629,1,0.01058615459,-0.04922388324,1,0.003118764262,-0.04958308388,4.04764836,-0.01130130233,0.03598593669,4.087730952,-0.0130830514,0.05759199941,0.4537644682,-0.09733764483,0.04052556685,0.5265980809,-0.1094231717,0.03563692882,1,-0.0004249675464,-0.0003601810791,1,-0.0002509309065,-0.0004924573994,2.227145918,-0.01128991377,-1.31E-05,3.273438127,-0.003201400759,6.82E-05
7.9,1,-0.007983949544,-0.05690100751,1,-0.0151218942,-0.03336916684,1,0.01091745609,-0.05203331387,1,0.004520483181,-0.05368007894,4.04764836,-0.01197006656,0.03720573816,4.087730952,-0.01328204093,0.05869030721,0.4537644682,-0.09674463087,0.03847111133,0.5265980809,-0.1052447817,0.03249623171,1,-0.0004373519556,-0.0003718087769,1,-0.0002565927207,-0.0005058815725,2.227145918,-0.01144504115,-1.51E-05,3.273438127,-0.003313505511,6.65E-05
8,1,-0.00845902033,-0.05950956456,1,-0.01371197975,-0.03555554015,1,0.01119357675,-0.05479134065,1,0.005911185973,-0.05772791017,4.04764836,-0.01262148561,0.03838304709,4.087730952,-0.01345290036,0.05971078847,0.4537644682,-0.096098343,0.03642432214,0.5265980809,-0.1010032893,0.02940138857,1,-0.0004491922276,-0.0003831052775,1,-0.0002618705744,-0.000518752902,2.227145918,-0.01158084768,-1.71E-05,3.273438127,-0.003417297781,6.46E-05
8.1,1,-0.008957078301,-0.06205477665,1,-0.01226251713,-0.03770575164,1,0.01141199329,-0.05749831859,1,0.007292379355,-0.06172400415,4.04764836,-0.01325365178,0.03951888182,4.087730952,-0.01359316841,0.06065603654,0.4537644682,-0.09539630835,0.03438544874,0.5265980809,-0.09670101309,0.02635180353,1,-0.0004604722771,-0.0003940555796,1,-0.0002667582369,-0.0005310427247,2.227145918,-0.0116970559,-1.90E-05,3.273438127,-0.003512124493,6.27E-05
8.2,1,-0.009474256896,-0.06453724713,1,-0.01077045157,-0.039820261,1,0.01157288119,-0.06015464551,1,0.008666745023,-0.06566598086,4.04764836,-0.01386496915,0.04061426052,4.087730952,-0.01370129366,0.06152900529,0.4537644682,-0.09463657923,0.03235474358,0.5265980809,-0.09234224201,0.02334686746,1,-0.0004711755665,-0.0004046406937,1,-0.0002712501517,-0.0005427234094,2.227145918,-0.01179337483,-2.08E-05,3.273438127,-0.003597423587,6.06E-05
8.3,1,-0.01000669357,-0.06695748884,1,-0.009233019293,-0.0418995274,1,0.0116784203,-0.06276068327,1,0.01003736072,-0.06955182211,4.04764836,-0.01445426612,0.04167018641,4.087730952,-0.01377624116,0.0623326963,0.4537644682,-0.09381736488,0.03033245994,0.5265980809,-0.08793165184,0.0203859861,1,-0.000481285343,-0.0004148366317,1,-0.0002753408789,-0.0005537670097,2.227145918,-0.01186961327,-2.25E-05,3.273438127,-0.003672752991,5.85E-05
8.4,1,-0.01055003274,-0.06931591825,1,-0.007647816003,-0.04394396087,1,0.0117323715,-0.06531673939,1,0.01140749555,-0.07337941304,4.04764836,-0.01502048992,0.04268763587,4.087730952,-0.01381729443,0.06307020864,0.4537644682,-0.09293686826,0.02831885168,0.5265980809,-0.08347364339,0.01746856331,1,-0.0004907833718,-0.0004246132131,1,-0.0002790248237,-0.0005641399507,2.227145918,-0.01192559073,-2.42E-05,3.273438127,-0.003737826213,5.63E-05
8.5,1,-0.01110020146,-0.07161295061,1,-0.006012648091,-0.0459539738,1,0.01173761107,-0.06782313247,1,0.01278069771,-0.07714673135,4.04764836,-0.01556244005,0.04366757213,4.087730952,-0.01382401523,0.06374464773,0.4537644682,-0.09199318175,0.02631417846,0.5265980809,-0.0789723288,0.01459397531,1,-0.0004996512946,-0.0004339377144,1,-0.000282297,-0.0005738074579,2.227145918,-0.01196114103,-2.57E-05,3.273438127,-0.003792564239,5.40E-05
8.6,1,-0.01165405982,-0.07384899396,1,-0.00432582272,-0.04793000688,1,0.01169707849,-0.07028017029,1,0.01416024403,-0.0808523317,4.04764836,-0.01607911386,0.04461094746,4.087730952,-0.01379612413,0.06435908487,0.4537644682,-0.09098434258,0.0243187025,0.5265980809,-0.07443157697,0.01176154966,1,-0.0005078718145,-0.0004427734693,1,-0.0002851534351,-0.0005827359864,2.227145918,-0.01197622679,-2.72E-05,3.273438127,-0.003837007457,5.17E-05
8.7,1,-0.01220846941,-0.07602449366,1,-0.002586256608,-0.0498724952,1,0.01161462919,-0.07268814272,1,0.01554886432,-0.08449474458,4.04764836,-0.01656962165,0.04551868801,4.087730952,-0.01373342091,0.06491646683,0.4537644682,-0.08990845382,0.02233268334,0.5265980809,-0.06985507941,0.008970615459,1,-0.0005154283921,-0.0004510850588,1,-0.0002875907643,-0.0005908921375,2.227145918,-0.01197087122,-2.85E-05,3.273438127,-0.003871201655,4.93E-05
8.8,1,-0.01275995709,-0.07814000246,1,-0.0007935052709,-0.05178187567,1,0.01149540002,-0.07504735855,1,0.01694859389,-0.08807246564,4.04764836,-0.01703337547,0.04639167022,4.087730952,-0.01363565032,0.0654196034,0.4537644682,-0.08876369204,0.02035638081,0.5265980809,-0.06524650256,0.006220498443,1,-0.0005223045627,-0.0004588410276,1,-0.0002896063204,-0.0005982431372,2.227145918,-0.01194515938,-2.98E-05,3.273438127,-0.003895179028,4.69E-05
8.9,1,-0.01330560689,-0.08019617291,1,0.001052402693,-0.05365859731,1,0.01134408974,-0.07735816098,1,0.01836077645,-0.09158434844,4.04764836,-0.01747008275,0.0472307196,4.087730952,-0.01350249892,0.06587113095,0.4537644682,-0.08754831386,0.01839005143,0.5265980809,-0.06060938558,0.003510505833,1,-0.000528483985,-0.000466010436,1,-0.0002911977646,-0.0006047596046,2.227145918,-0.01189925855,-3.10E-05,3.273438127,-0.003908975752,4.45E-05
9,1,-0.01384275478,-0.08219364655,1,0.002950922827,-0.05550311311,1,0.01116428594,-0.07962090497,1,0.01978619366,-0.0950295469,4.04764836,-0.01787948643,0.04803661627,4.087730952,-0.01333379472,0.06627350597,0.4537644682,-0.08626064514,0.01643394616,0.5265980809,-0.05594707718,0.0008399393334,1,-0.0005339509019,-0.0004725596079,1,-0.0002923636811,-0.0006104139958,2.227145918,-0.01183337336,-3.20E-05,3.273438127,-0.003912688202,4.21E-05
9.1,1,-0.01436854325,-0.08413308304,1,0.00490161227,-0.05731587385,1,0.01095991553,-0.08183595764,1,0.02122602282,-0.09840742026,4.04764836,-0.01826153785,0.04881009625,4.087730952,-0.01312968319,0.06662909207,0.4537644682,-0.08489913347,0.01448831189,0.5265980809,-0.05126284109,-0.001791896689,1,-0.0005386900853,-0.0004784565784,1,-0.0002931032965,-0.0006151804248,2.227145918,-0.01174775327,-3.30E-05,3.273438127,-0.003906486698,3.97E-05
9.2,1,-0.01487988025,-0.0860152248,1,0.006904289171,-0.05909730375,1,0.01073392333,-0.08400372148,1,0.02268200985,-0.1017172718,4.04764836,-0.01861599493,0.04955188226,4.087730952,-0.01289073651,0.06694015358,0.4537644682,-0.08346267928,0.01255338405,0.5265980809,-0.04655997968,-0.004385707866,1,-0.0005426879664,-0.0004836700013,1,-0.0002934158587,-0.0006190360368,2.227145918,-0.01164262084,-3.38E-05,3.273438127,-0.003890561504,3.73E-05
9.3,1,-0.01537402356,-0.0878408205,1,0.008958524998,-0.06084781088,1,0.01048681992,-0.08612461021,1,0.0241556205,-0.104958318,4.04764836,-0.01894211655,0.05026270447,4.087730952,-0.01261761694,0.06720881811,0.4537644682,-0.08195025063,0.01062939576,0.5265980809,-0.04184162691,-0.006942198583,1,-0.0005459322194,-0.0004881667016,1,-0.0002933003015,-0.0006219659694,2.227145918,-0.01151816551,-3.46E-05,3.273438127,-0.003865136042,3.49E-05
9.4,1,-0.01584779608,-0.08961057315,1,0.01106348626,-0.06256779494,1,0.01021910242,-0.08819904751,1,0.02564800594,-0.1081300447,4.04764836,-0.01923914021,0.05094327282,4.087730952,-0.01231104826,0.06743724464,0.4537644682,-0.08036083694,0.008716585045,0.5265980809,-0.03711076386,-0.009462054767,1,-0.000548410796,-0.0004919131716,1,-0.0002927552963,-0.000623961172,2.227145918,-0.01137456559,-3.52E-05,3.273438127,-0.003830457634,3.26E-05
9.5,1,-0.01629765261,-0.09132525621,1,0.01321844177,-0.06425764394,1,0.00993263356,-0.09022748417,1,0.02716032441,-0.1112320249,4.04764836,-0.01950662288,0.05159426488,4.087730952,-0.0119717653,0.06762750053,0.4537644682,-0.07869353996,0.006815198013,0.5265980809,-0.03237023582,-0.01194594283,1,-0.0005501117825,-0.0004948828682,1,-0.000291779346,-0.0006250078015,2.227145918,-0.01121205416,-3.57E-05,3.273438127,-0.003786806544,3.02E-05
9.6,1,-0.01672006843,-0.09298575496,1,0.0154229852,-0.0659177406,1,0.009629565775,-0.09221040029,1,0.02869375913,-0.1142640572,4.04764836,-0.0197442465,0.05221633475,4.087730952,-0.01160043705,0.06778150512,0.4537644682,-0.07694757611,0.004925479982,0.5265980809,-0.0276227594,-0.01439451041,1,-0.0005510236702,-0.0004970581874,1,-0.0002903710354,-0.0006250900945,2.227145918,-0.0110309445,-3.62E-05,3.273438127,-0.003734480727,2.80E-05
9.7,1,-0.01711174323,-0.09459303529,1,0.01767659055,-0.0675484694,1,0.009312334066,-0.09414829364,1,0.03024924986,-0.1172261921,4.04764836,-0.0199519385,0.05281010127,4.087730952,-0.01119776626,0.06790104758,0.4537644682,-0.07512215685,0.003047673645,0.5265980809,-0.02287101342,-0.01680838157,1,-0.0005511360397,-0.0004984270101,1,-0.0002885292189,-0.0006241964344,2.227145918,-0.01083165491,-3.65E-05,3.273438127,-0.003673783677,2.57E-05
9.8,1,-0.01746989891,-0.09614813871,1,0.01997861817,-0.06915022637,1,0.008983284597,-0.09604167839,1,0.03182762782,-0.1201187651,4.04764836,-0.02012971843,0.05337617533,4.087730952,-0.01076464247,0.06798772045,0.4537644682,-0.07321643833,0.001182017436,0.5265980809,-0.01811774396,-0.01918815112,1,-0.0005504392254,-0.0004989828596,1,-0.0002862531619,-0.000622321333,2.227145918,-0.01061465097,-3.67E-05,3.273438127,-0.003605059561,2.35E-05
9.9,1,-0.01779146258,-0.0976521445,1,0.02232824581,-0.07072341243,1,0.008643980626,-0.09789107914,1,0.03342951586,-0.1229422931,4.04764836,-0.02027726285,0.05391516972,4.087730952,-0.01030214206,0.06804290892,0.4537644682,-0.07122951198,-0.0006712645186,0.5265980809,-0.01336559881,-0.02153439629,1,-0.0005489239804,-0.0004987211359,1,-0.0002835429493,-0.0006194605499,2.227145918,-0.01038039959,-3.68E-05,3.273438127,-0.003528664789,2.14E-05
10,1,-0.01807265295,-0.09910615631,1,0.02472419344,-0.07226842992,1,0.008296777369,-0.09969702657,1,0.03505519566,-0.1256973951,4.04764836,-0.02039425041,0.05442767281,4.087730952,-0.009811567662,0.06806784763,0.4537644682,-0.06916048609,-0.002511959215,0.5265980809,-0.008617121472,-0.0238476779,1,-0.000546581896,-0.0004976402618,1,-0.000280400483,-0.0006156088215,2.227145918,-0.01012940324,-3.68E-05,3.273438127,-0.003444983912,1.92E-05
10.1,1,-0.01830914756,-0.1005112574,1,0.02716507507,-0.07378568544,1,0.007945908672,-0.1014600646,1,0.03670491122,-0.1283848635,4.04764836,-0.02048076088,0.0549142459,4.087730952,-0.009294353922,0.06806365854,0.4537644682,-0.06700859186,-0.004339864744,0.5265980809,-0.003874848701,-0.02612849706,1,-0.0005434050552,-0.0004957388783,1,-0.0002768286834,-0.000610764246,2.227145918,-0.009862241281,-3.68E-05,3.273438127,-0.003354429114,1.72E-05
10.2,1,-0.01849529509,-0.1018684468,1,0.02964901999,-0.07527557996,1,0.007598583258,-0.1031807588,1,0.03837855343,-0.1310055892,4.04764836,-0.0205373106,0.05537543791,4.087730952,-0.008752110377,0.06803139697,0.4537644682,-0.06477350222,-0.006154815518,0.5265980809,0.0008586531835,-0.02837718712,1,-0.000539385687,-0.0004930183084,1,-0.000272831786,-0.0006049228703,2.227145918,-0.009579557548,-3.66E-05,3.273438127,-0.003257426076,1.52E-05
10.3,1,-0.01862428196,-0.1031786533,1,0.03217370819,-0.07673850055,1,0.007263045827,-0.1048596728,1,0.04007547653,-0.1335604808,4.04764836,-0.02056445271,0.0558117709,4.087730952,-0.008186444386,0.06797207855,0.4537644682,-0.06245493034,-0.007956656139,0.5265980809,0.005580995311,-0.03059404404,1,-0.0005345157262,-0.0004894796785,1,-0.0002684155201,-0.0005980827947,2.227145918,-0.009281994725,-3.63E-05,3.273438127,-0.003154390671,1.32E-05
10.4,1,-0.01868879721,-0.104442696,1,0.03473700895,-0.07817483699,1,0.006947528811,-0.1064973516,1,0.04179501752,-0.1360506381,4.04764836,-0.02056277068,0.05622373015,4.087730952,-0.007598792864,0.06788668992,0.4537644682,-0.06005256794,-0.009745233449,0.5265980809,0.01029004265,-0.03277938068,1,-0.0005287870205,-0.0004851179461,1,-0.0002635864917,-0.0005902467807,2.227145918,-0.008970178315,-3.60E-05,3.273438127,-0.003045720942,1.13E-05
10.5,1,-0.01868253827,-0.1056614444,1,0.03733698138,-0.07958498314,1,0.006659179913,-0.108094348,1,0.04353645447,-0.1384773302,4.04764836,-0.02053302037,0.05661176489,4.087730952,-0.006990406207,0.06777616027,0.4537644682,-0.05756610558,-0.01152039451,0.5265980809,0.01498378501,-0.03493353585,1,-0.0005221929911,-0.000479933521,1,-0.0002583506264,-0.0005814212597,2.227145918,-0.008644747906,-3.55E-05,3.273438127,-0.002931758447,9.40E-06
10.6,1,-0.01860029843,-0.106835785,1,0.03997179127,-0.08096932721,1,0.006404134057,-0.1096512207,1,0.04529918455,-0.1408418978,4.04764836,-0.02047597296,0.05697632495,4.087730952,-0.006362566905,0.06764136131,0.4537644682,-0.05499522087,-0.01328198751,0.5265980809,0.01966039523,-0.03705687686,1,-0.0005147285981,-0.0004739271074,1,-0.0002527135995,-0.0005716179275,2.227145918,-0.008306337935,-3.50E-05,3.273438127,-0.002812845743,7.58E-06
10.7,1,-0.01843737781,-0.1079666251,1,0.04263950073,-0.08232824367,1,0.006186329019,-0.1111685244,1,0.04708275874,-0.1431456865,4.04764836,-0.02039184333,0.05731789249,4.087730952,-0.005716654295,0.06748319747,0.4537644682,-0.05233950339,-0.0150298641,0.5265980809,0.02431815731,-0.03914977266,1,-0.0005063901019,-0.0004670978915,1,-0.0002466810299,-0.0005608484635,2.227145918,-0.007955455303,-3.44E-05,3.273438127,-0.002689321503,5.81E-06
10.8,1,-0.01818897119,-0.1090548878,1,0.04533824478,-0.08366209585,1,0.006009063757,-0.1126468165,1,0.0488869015,-0.1453900886,4.04764836,-0.02028069946,0.05763693717,4.087730952,-0.005054145621,0.06730254219,0.4537644682,-0.04959847589,-0.01676387689,0.5265980809,0.02895543623,-0.04121258386,1,-0.0004971749248,-0.0004594466767,1,-0.0002402579327,-0.0005491215685,2.227145918,-0.007592555998,-3.38E-05,3.273438127,-0.002561529409,4.08E-06
10.9,1,-0.0178504516,-0.1101015228,1,0.04806630752,-0.08497123629,1,0.005875777176,-0.1140866697,1,0.05071138585,-0.147576505,4.04764836,-0.02014283421,0.05793389543,4.087730952,-0.004376492502,0.06710021522,0.4537644682,-0.04677181089,-0.01848387697,0.5265980809,0.03357077808,-0.04324563514,1,-0.0004870815531,-0.0004509775751,1,-0.0002334501214,-0.0005364469288,2.227145918,-0.007218109171,-3.30E-05,3.273438127,-0.002429802763,2.41E-06
11,1,-0.01741734616,-0.1111073806,1,0.05082194042,-0.08625601067,1,0.005790253455,-0.1154886755,1,0.05255584064,-0.1497063638,4.04764836,-0.01997858342,0.05820921366,4.087730952,-0.003685108477,0.06687698061,0.4537644682,-0.04385923702,-0.02018971213,0.5265980809,0.03816290122,-0.04524921921,1,-0.0004761086781,-0.0004416986519,1,-0.0002262650755,-0.0005228361455,2.227145918,-0.006832575328,-3.22E-05,3.273438127,-0.002294465734,7.77E-07
11.1,1,-0.01688491384,-0.1120732364,1,0.05360323323,-0.08751676455,1,0.00575735069,-0.1168534292,1,0.05441977992,-0.1517812118,4.04764836,-0.01978828092,0.05846335582,4.087730952,-0.002981473085,0.06663356121,0.4537644682,-0.04086084328,-0.02188124411,0.5265980809,0.04273040625,-0.04722364282,1,-0.0004642553632,-0.0004316169806,1,-0.000218710669,-0.000508303683,2.227145918,-0.006436397668,-3.13E-05,3.273438127,-0.002155829524,-8.10E-07
11.2,1,-0.01624841041,-0.1129999335,1,0.05640781732,-0.08875384174,1,0.005784757077,-0.1181814965,1,0.05630258123,-0.1538026869,4.04764836,-0.01957256427,0.05869679028,4.087730952,-0.002267362558,0.0663706337,0.4537644682,-0.03777842534,-0.02355837743,0.5265980809,0.04727120411,-0.04916924407,1,-0.0004515220803,-0.0004207406943,1,-0.0002107942804,-0.0004928675496,2.227145918,-0.006030026125,-3.03E-05,3.273438127,-0.002014199779,-2.35E-06
11.3,1,-0.01550321997,-0.1138884055,1,0.05923298276,-0.08996758432,1,0.005880798877,-0.1194734421,1,0.05820331047,-0.1557722809,4.04764836,-0.01933227804,0.05890995264,4.087730952,-0.001544564909,0.06608881866,0.4537644682,-0.03461432619,-0.02522102753,0.5265980809,0.05178302241,-0.05108636669,1,-0.0004379109812,-0.000409084935,1,-0.000202523989,-0.0004765485709,2.227145918,-0.005613946341,-2.93E-05,3.273438127,-0.001869893478,-3.86E-06
11.4,1,-0.01464477208,-0.1147396401,1,0.06207599898,-0.09115832848,1,0.006054227283,-0.1207298347,1,0.06012093448,-0.1576913595,4.04764836,-0.01906842787,0.05910325076,4.087730952,-0.0008147756437,0.06578871224,0.4537644682,-0.03137099026,-0.02686911491,0.5265980809,0.0562636335,-0.05297534928,1,-0.0004234254925,-0.0003966703717,1,-0.0001939088141,-0.0004593664385,2.227145918,-0.005188686076,-2.82E-05,3.273438127,-0.001723234098,-5.33E-06
11.5,1,-0.01366889332,-0.1155546533,1,0.06493414561,-0.09232641172,1,0.006313721546,-0.1219512395,1,0.06205444591,-0.159561323,4.04764836,-0.01878211125,0.05927707454,4.087730952,-7.97E-05,0.06547088341,0.4537644682,-0.02805087451,-0.02850256262,0.5265980809,0.06071077597,-0.05483651528,1,-0.0004080702266,-0.0003835226544,1,-0.0001849579733,-0.0004413434051,2.227145918,-0.004754795646,-2.70E-05,3.273438127,-0.001574551958,-6.76E-06
11.6,1,-0.01257200338,-0.1163344561,1,0.06780457424,-0.09347216973,1,0.006667128107,-0.1231382115,1,0.0640027549,-0.1613835326,4.04764836,-0.01847443986,0.05943179602,4.087730952,0.0006590535561,0.06513590744,0.4537644682,-0.0246564631,-0.03012129375,0.5265980809,0.06512221066,-0.05667017571,1,-0.0003918501541,-0.000369669683,1,-0.0001756812406,-0.000422501667,2.227145918,-0.004312802156,-2.58E-05,3.273438127,-0.001424200346,-8.16E-06
11.7,1,-0.01135147843,-0.1170800247,1,0.07068444456,-0.0945959372,1,0.007120483958,-0.1242912845,1,0.06596464207,-0.1631593658,4.04764836,-0.01814644105,0.05956777198,4.087730952,0.001399892912,0.06478434348,0.4537644682,-0.02119033143,-0.03172523313,0.5265980809,0.06949574887,-0.05847665612,1,-0.0003747716576,-0.0003551325108,1,-0.0001660890589,-0.0004028622624,2.227145918,-0.003863186968,-2.45E-05,3.273438127,-0.001272526432,-9.54E-06
11.8,1,-0.01000500375,-0.1177922408,1,0.07357084009,-0.09569805055,1,0.007678861583,-0.1254109663,1,0.06793856545,-0.1648902262,4.04764836,-0.01779903402,0.05968535393,4.087730952,0.00214142795,0.06441668147,0.4537644682,-0.01765500172,-0.03331431407,0.5265980809,0.07382918581,-0.0602562959,1,-0.0003568434685,-0.0003399125399,1,-0.0001561923549,-0.0003824481999,2.227145918,-0.003406419487,-2.32E-05,3.273438127,-0.001119845466,-1.09E-05
11.9,1,-0.008530804682,-0.1184719351,1,0.07646087364,-0.09677884904,1,0.008346472777,-0.1264977721,1,0.06992293192,-0.1665775494,4.04764836,-0.01743315352,0.05978489074,4.087730952,0.002882330421,0.06403338032,0.4537644682,-0.01405286999,-0.03488848157,0.5265980809,0.07812036271,-0.06200942314,1,-0.0003380772023,-0.0003240020908,1,-0.0001460023479,-0.0003612880003,2.227145918,-0.002942994529,-2.18E-05,3.273438127,-0.0009664647158,-1.22E-05
12,1,-0.006928124548,-0.1191199671,1,0.07935151822,-0.09783867581,1,0.009126168085,-0.1275522245,1,0.07191590306,-0.1682227739,4.04764836,-0.01704977262,0.05986671728,4.087730952,0.003621431299,0.06363490956,0.4537644682,-0.01038628105,-0.03644768566,0.5265980809,0.08236717964,-0.06373635263,1,-0.0003184864028,-0.0003073923941,1,-0.0001355317099,-0.0003394125743,2.227145918,-0.002473413514,-2.04E-05,3.273438127,-0.0008126568791,-1.35E-05
12.1,1,-0.005196397339,-0.1197371999,1,0.08223976086,-0.09887786787,1,0.0100215717,-0.1285748667,1,0.07391563754,-0.1698272842,4.04764836,-0.01665005352,0.05993116611,4.087730952,0.004357552543,0.06322168705,0.4537644682,-0.006657718994,-0.03799187863,0.5265980809,0.0865677359,-0.06543738089,1,-0.0002980852373,-0.0002900784831,1,-0.0001247937775,-0.0003168497573,2.227145918,-0.001998154441,-1.90E-05,3.273438127,-0.0006586756843,-1.48E-05
