WHO child growth standards - sets 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Length/Height-for-age,,,,,,Weight-for-age,,,,,,BMI-for-age,,,,,,Head Circumference,,,,,,Arm Circumference,,,,,,Subscapular Skinfold,,,,,,Triceps Skinfold,,,,,
,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,
Week/Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
48,4,1,103.3273,0.04059,1,102.7312,0.04193,-0.1131,16.3489,0.12759,-0.3361,16.0697,0.13884,-0.3622,15.3326,0.08238,-0.5684,15.2602,0.09168,1.00,50.2115,0.0291,1.00,49.3321,0.0288,-0.31,16.14,0.0828,-0.17,16.2477,0.0885,-0.91,5.5482,0.1890,-0.85,6.0669,0.2199,-0.27,7.7364,0.2347,-0.23,8.5481,0.2422
49,4.083333333,1,103.8886,0.04073,1,103.3197,0.04206,-0.1165,16.515,0.12819,-0.3374,16.2511,0.13968,-0.3811,15.3174,0.08272,-0.5684,15.2556,0.09227,1.00,50.2617,0.0292,1.00,49.3877,0.0288,-0.31,16.1714,0.0831,-0.17,16.2974,0.0889,-0.92,5.5303,0.1893,-0.85,6.0679,0.2211,-0.28,7.7233,0.2364,-0.23,8.5711,0.2437
50,4.166666667,1,104.4473,0.04086,1,103.9021,0.0422,-0.1198,16.6811,0.1288,-0.3387,16.4322,0.14051,-0.4019,15.3029,0.08307,-0.5684,15.2523,0.09286,1.00,50.3105,0.0292,1.00,49.4419,0.0287,-0.32,16.2027,0.0834,-0.17,16.3475,0.0893,-0.93,5.5125,0.1896,-0.86,6.069,0.2222,-0.28,7.7096,0.2381,-0.23,8.5942,0.2452
51,4.25,1,105.0041,0.041,1,104.4786,0.04233,-0.123,16.8471,0.12943,-0.34,16.6133,0.14132,-0.4245,15.2891,0.08343,-0.5684,15.2503,0.09345,1.00,50.3578,0.0292,1.00,49.4947,0.0287,-0.33,16.234,0.0836,-0.17,16.3981,0.0897,-0.94,5.4948,0.1899,-0.86,6.0703,0.2234,-0.28,7.6955,0.2398,-0.23,8.6174,0.2467
52,4.333333333,1,105.5596,0.04113,1,105.0494,0.04246,-0.1262,17.0132,0.13005,-0.3414,16.7942,0.14213,-0.4488,15.2759,0.0838,-0.5684,15.2496,0.09403,1.00,50.4039,0.0292,1.00,49.5464,0.0287,-0.34,16.2654,0.0839,-0.17,16.449,0.0902,-0.95,5.4774,0.1902,-0.87,6.0717,0.2245,-0.29,7.6812,0.2415,-0.23,8.6406,0.2481
53,4.416666667,1,106.1138,0.04126,1,105.6148,0.04259,-0.1294,17.1792,0.13069,-0.3427,16.9748,0.14293,-0.4747,15.2633,0.08418,-0.5684,15.2502,0.0946,1.00,50.4488,0.0293,1.00,49.5969,0.0287,-0.35,16.2968,0.0842,-0.17,16.5001,0.0906,-0.96,5.4606,0.1905,-0.87,6.0732,0.2256,-0.29,7.6669,0.2432,-0.23,8.6641,0.2495
54,4.5,1,106.6668,0.04139,1,106.1748,0.04272,-0.1325,17.3452,0.13133,-0.344,17.1551,0.14371,-0.5019,15.2514,0.08457,-0.5684,15.2519,0.09515,1.00,50.4926,0.0293,1.00,49.6464,0.0286,-0.35,16.3283,0.0845,-0.17,16.5514,0.0910,-0.96,5.4443,0.1908,-0.88,6.0748,0.2266,-0.29,7.6525,0.2449,-0.23,8.6876,0.2510
55,4.583333333,1,107.2188,0.04152,1,106.7295,0.04285,-0.1356,17.5111,0.13197,-0.3453,17.3347,0.14448,-0.5303,15.24,0.08496,-0.5684,15.2544,0.09568,1.00,50.5354,0.0293,1.00,49.6947,0.0286,-0.36,16.3599,0.0848,-0.17,16.6026,0.0914,-0.97,5.4288,0.1911,-0.89,6.0765,0.2277,-0.29,7.6383,0.2467,-0.23,8.7112,0.2523
56,4.666666667,1,107.7697,0.04165,1,107.2788,0.04298,-0.1387,17.6768,0.13261,-0.3466,17.5136,0.14525,-0.5599,15.2291,0.08536,-0.5684,15.2575,0.09618,1.00,50.5772,0.0294,1.00,49.7421,0.0286,-0.37,16.3916,0.0851,-0.17,16.6534,0.0918,-0.98,5.414,0.1914,-0.89,6.0784,0.2288,-0.30,7.6242,0.2484,-0.24,8.7349,0.2537
57,4.75,1,108.3198,0.04177,1,107.8227,0.0431,-0.1417,17.8422,0.13325,-0.3479,17.6916,0.146,-0.5905,15.2188,0.08577,-0.5684,15.2612,0.09665,1.00,50.6183,0.0294,1.00,49.7885,0.0286,-0.38,16.4233,0.0854,-0.17,16.7039,0.0922,-0.99,5.4,0.1917,-0.90,6.0803,0.2298,-0.30,7.6104,0.2501,-0.24,8.7586,0.2550
58,4.833333333,1,108.8689,0.0419,1,108.3613,0.04322,-0.1447,18.0073,0.13389,-0.3492,17.8686,0.14675,-0.6223,15.2091,0.08617,-0.5684,15.2653,0.09709,1.00,50.6587,0.0294,1.00,49.8341,0.0285,-0.38,16.4551,0.0857,-0.17,16.7539,0.0926,-1.00,5.3868,0.1920,-0.90,6.0823,0.2308,-0.30,7.5968,0.2519,-0.24,8.7824,0.2563
59,4.916666667,1,109.417,0.04202,1,108.8948,0.04334,-0.1477,18.1722,0.13453,-0.3505,18.0445,0.14748,-0.6552,15.2,0.08659,-0.5684,15.2698,0.0975,1.00,50.6984,0.0294,1.00,49.8789,0.0285,-0.39,16.4871,0.0860,-0.17,16.8034,0.0930,-1.01,5.3744,0.1923,-0.91,6.0844,0.2318,-0.31,7.5835,0.2536,-0.24,8.8061,0.2576
60,5,1,109.9638,0.04214,1,109.4233,0.04347,-0.1506,18.3366,0.13517,-0.3518,18.2193,0.14821,-0.6892,15.1916,0.087,-0.5684,15.2747,0.09789,1.00,50.7375,0.0295,1.00,49.9229,0.0285,-0.40,16.5191,0.0862,-0.17,16.8526,0.0934,-1.02,5.3628,0.1926,-0.91,6.0865,0.2328,-0.31,7.5706,0.2553,-0.24,8.8298,0.2589
