WHO 5-19 Reference (2007),,,,,,,,,,,,,,,,,,,
,,,Height,,,Height,,,Weight,,,Weight,,,BMI,,,BMI,
,,Boys,,,Girls,,,Boys,,,Girls,,,Boys,,,Girls,,
Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
93,7.75,1,125.9104,0.04414,1,125.1045,0.04569,-0.5229,24.7722,0.1417,-0.5563,24.3149,0.16032,-1.4126,15.6677,0.09406,-1.36,15.5979,0.11156
94,7.83,1,126.364,0.04422,1,125.5869,0.04573,-0.5315,24.9858,0.14226,-0.5585,24.5482,0.16084,-1.4297,15.6903,0.09445,-1.3697,15.6246,0.11201
95,7.92,1,126.8156,0.0443,1,126.0706,0.04577,-0.5399,25.2005,0.14284,-0.5606,24.7853,0.16135,-1.4464,15.7133,0.09486,-1.379,15.6523,0.11246
96,8.00,1,127.2651,0.04438,1,126.5558,0.04581,-0.5482,25.4163,0.14344,-0.5627,25.0262,0.16186,-1.4629,15.7368,0.09526,-1.388,15.681,0.11291
97,8.08,1,127.7129,0.04446,1,127.0424,0.04585,-0.5564,25.6332,0.14407,-0.5647,25.271,0.16237,-1.479,15.7606,0.09567,-1.3966,15.7107,0.11335
98,8.17,1,128.159,0.04454,1,127.5304,0.04588,-0.5644,25.8513,0.14472,-0.5667,25.5197,0.16287,-1.4947,15.7848,0.09609,-1.4047,15.7415,0.1138
99,8.25,1,128.6034,0.04462,1,128.0199,0.04591,-0.5722,26.0706,0.14539,-0.5686,25.7721,0.16337,-1.5101,15.8094,0.09651,-1.4125,15.7732,0.11424
100,8.33,1,129.0466,0.0447,1,128.5109,0.04594,-0.5799,26.2911,0.14608,-0.5704,26.0284,0.16386,-1.5252,15.8344,0.09693,-1.4199,15.8058,0.11469
101,8.42,1,129.4887,0.04478,1,129.0035,0.04597,-0.5873,26.5128,0.14679,-0.5722,26.2883,0.16435,-1.5399,15.8597,0.09735,-1.427,15.8394,0.11513
102,8.50,1,129.93,0.04487,1,129.4975,0.046,-0.5946,26.7358,0.14752,-0.574,26.5519,0.16483,-1.5542,15.8855,0.09778,-1.4336,15.8738,0.11557
103,8.58,1,130.3705,0.04495,1,129.9932,0.04602,-0.6017,26.9602,0.14828,-0.5757,26.819,0.16532,-1.5681,15.9116,0.09821,-1.4398,15.909,0.11601
104,8.67,1,130.8103,0.04503,1,130.4904,0.04604,-0.6085,27.1861,0.14905,-0.5773,27.0896,0.16579,-1.5817,15.9381,0.09864,-1.4456,15.9451,0.11644
105,8.75,1,131.2495,0.04511,1,130.9891,0.04607,-0.6152,27.4137,0.14984,-0.5789,27.3635,0.16626,-1.5948,15.9651,0.09907,-1.4511,15.9818,0.11688
106,8.83,1,131.6884,0.04519,1,131.4895,0.04608,-0.6216,27.6432,0.15066,-0.5804,27.6406,0.16673,-1.6076,15.9925,0.09951,-1.4561,16.0194,0.11731
107,8.92,1,132.1269,0.04527,1,131.9912,0.0461,-0.6278,27.875,0.15149,-0.5819,27.9208,0.16719,-1.6199,16.0205,0.09994,-1.4607,16.0575,0.11774
108,9.00,1,132.5652,0.04535,1,132.4944,0.04612,-0.6337,28.1092,0.15233,-0.5833,28.204,0.16764,-1.6318,16.049,0.10038,-1.465,16.0964,0.11816
109,9.08,1,133.0031,0.04543,1,132.9989,0.04613,-0.6393,28.3459,0.15319,-0.5847,28.4901,0.16809,-1.6433,16.0781,0.10082,-1.4688,16.1358,0.11859
110,9.17,1,133.4404,0.04551,1,133.5046,0.04614,-0.6446,28.5854,0.15406,-0.5859,28.7791,0.16854,-1.6544,16.1078,0.10126,-1.4723,16.1759,0.11901
111,9.25,1,133.877,0.04559,1,134.0118,0.04615,-0.6496,28.8277,0.15493,-0.5872,29.0711,0.16897,-1.6651,16.1381,0.1017,-1.4753,16.2166,0.11943
112,9.33,1,134.313,0.04566,1,134.5202,0.04616,-0.6543,29.0731,0.15581,-0.5883,29.3663,0.16941,-1.6753,16.1692,0.10214,-1.478,16.258,0.11985
113,9.42,1,134.7483,0.04574,1,135.0299,0.04616,-0.6585,29.3217,0.1567,-0.5895,29.6646,0.16983,-1.6851,16.2009,0.10259,-1.4803,16.2999,0.12026
114,9.50,1,135.1829,0.04582,1,135.541,0.04617,-0.6624,29.5736,0.1576,-0.5905,29.9663,0.17025,-1.6944,16.2333,0.10303,-1.4823,16.3425,0.12067
115,9.58,1,135.6168,0.04589,1,136.0533,0.04617,-0.6659,29.8289,0.1585,-0.5915,30.2715,0.17066,-1.7032,16.2665,0.10347,-1.4838,16.3858,0.12108
116,9.67,1,136.0501,0.04597,1,136.567,0.04616,-0.6689,30.0877,0.1594,-0.5925,30.5805,0.17107,-1.7116,16.3004,0.10391,-1.485,16.4298,0.12148
117,9.75,1,136.4829,0.04604,1,137.0821,0.04616,-0.6714,30.3501,0.16031,-0.5934,30.8934,0.17146,-1.7196,16.3351,0.10435,-1.4859,16.4746,0.12188
118,9.83,1,136.9153,0.04612,1,137.5987,0.04616,-0.6735,30.616,0.16122,-0.5942,31.2105,0.17186,-1.7271,16.3704,0.10478,-1.4864,16.52,0.12228
119,9.92,1,137.3474,0.04619,1,138.1167,0.04615,-0.6752,30.8854,0.16213,-0.595,31.5319,0.17224,-1.7341,16.4065,0.10522,-1.4866,16.5663,0.12268
120,10.00,1,137.7795,0.04626,1,138.6363,0.04614,-0.6764,31.1586,0.16305,-0.5958,31.8578,0.17262,-1.7407,16.4433,0.10566,-1.4864,16.6133,0.12307
121,10.08,1,138.2119,0.04633,1,139.1575,0.04612,,,,,,,-1.7468,16.4807,0.10609,-1.4859,16.6612,0.12346
122,10.17,1,138.6452,0.0464,1,139.6803,0.04611,,,,,,,-1.7525,16.5189,0.10652,-1.4851,16.71,0.12384
123,10.25,1,139.0797,0.04647,1,140.2049,0.04609,,,,,,,-1.7578,16.5578,0.10695,-1.4839,16.7595,0.12422
124,10.33,1,139.5158,0.04654,1,140.7313,0.04607,,,,,,,-1.7626,16.5974,0.10738,-1.4825,16.81,0.1246
125,10.42,1,139.954,0.04661,1,141.2594,0.04605,,,,,,,-1.767,16.6376,0.1078,-1.4807,16.8614,0.12497
126,10.50,1,140.3948,0.04667,1,141.7892,0.04603,,,,,,,-1.771,16.6786,0.10823,-1.4787,16.9136,0.12534
127,10.58,1,140.8387,0.04674,1,142.3206,0.046,,,,,,,-1.7745,16.7203,0.10865,-1.4763,16.9667,0.12571
128,10.67,1,141.2859,0.0468,1,142.8534,0.04597,,,,,,,-1.7777,16.7628,0.10906,-1.4737,17.0208,0.12607
129,10.75,1,141.7368,0.04686,1,143.3874,0.04594,,,,,,,-1.7804,16.8059,0.10948,-1.4708,17.0757,0.12643
